ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
688008.SH,2025-06-05,80.89,83.98,80.29,83.8,80.3,3.5,4.3587,309120.56,2551115.484
688008.SH,2025-06-06,83.11,84.2,82.8,83.84,83.8,0.04,0.0477,181508.71,1514550.408
688008.SH,2025-06-09,84.0,84.49,82.87,83.89,83.84,0.05,0.0596,185009.72,1544128.779
688008.SH,2025-06-10,83.5,83.5,80.7,81.81,83.89,-2.08,-2.4794,243354.01,1992713.356
688008.SH,2025-06-11,82.0,83.35,81.59,82.04,81.81,0.23,0.2811,156497.06,1290295.14
688008.SH,2025-06-12,81.8,82.89,81.13,81.28,82.04,-0.76,-0.9264,167698.63,1370986.018
688008.SH,2025-06-13,81.0,81.41,79.0,79.0,81.28,-2.28,-2.8051,308183.41,2460454.094
688008.SH,2025-06-16,78.9,81.25,78.8,79.54,79.0,0.54,0.6835,200369.14,1602995.595
688008.SH,2025-06-17,79.95,80.91,79.28,79.75,79.54,0.21,0.264,139308.73,1111454.172
688008.SH,2025-06-18,79.5,81.57,79.2,80.55,79.75,0.8,1.0031,172812.56,1392452.646
688008.SH,2025-06-19,80.56,83.1,80.56,81.3,80.55,0.75,0.9311,214968.41,1759706.871
688008.SH,2025-06-20,81.21,82.68,81.12,81.57,81.3,0.27,0.3321,149873.84,1226351.543
688008.SH,2025-06-23,79.0,81.5,77.45,78.01,81.57,-3.56,-4.3643,328325.25,2602438.236
688008.SH,2025-06-24,78.85,80.17,78.48,79.05,78.01,1.04,1.3332,227331.72,1802533.746
688008.SH,2025-06-25,79.23,80.88,78.29,80.78,79.05,1.73,2.1885,236199.27,1880573.747
688008.SH,2025-06-26,80.81,81.4,79.8,79.8,80.78,-0.98,-1.2132,181772.59,1461410.824
688008.SH,2025-06-27,80.26,81.38,79.63,80.15,79.8,0.35,0.4386,168196.02,1354235.353
688008.SH,2025-06-30,80.6,82.16,80.59,82.0,80.15,1.85,2.3082,198746.17,1619593.97
688008.SH,2025-07-01,81.99,82.72,81.47,82.0,82.0,0.0,0.0,140682.84,1153547.185
688008.SH,2025-07-02,81.6,81.96,80.19,80.26,82.0,-1.74,-2.122,132174.05,1070537.909
688008.SH,2025-07-03,80.67,82.32,80.51,82.3,80.26,2.04,2.5417,159515.37,1304172.369
688008.SH,2025-07-04,82.0,83.16,81.1,81.62,82.3,-0.68,-0.8262,154172.33,1263298.169
688008.SH,2025-07-07,81.16,81.5,79.42,80.26,81.62,-1.36,-1.6663,140087.73,1123018.831
688008.SH,2025-07-08,80.5,83.28,80.44,82.9,80.26,2.64,3.2893,202424.21,1666940.193
688008.SH,2025-07-09,82.56,83.4,80.82,81.0,82.9,-1.9,-2.2919,163036.65,1333202.181
688008.SH,2025-07-10,81.3,81.8,80.6,80.82,81.0,-0.18,-0.2222,159563.97,1293897.739
688008.SH,2025-07-11,80.85,83.28,80.5,83.03,80.82,2.21,2.7345,230359.16,1895583.115
688008.SH,2025-07-14,83.1,83.88,82.16,82.71,83.03,-0.32,-0.3854,177938.11,1476471.776
688008.SH,2025-07-15,82.74,86.36,82.51,85.3,82.71,2.59,3.1314,347114.64,2943051.999
688008.SH,2025-07-16,85.75,87.97,84.68,84.96,85.3,-0.34,-0.3986,313532.59,2698394.022
688008.SH,2025-07-17,84.85,86.5,84.35,86.27,84.96,1.31,1.5419,198432.22,1699120.155
688008.SH,2025-07-18,85.95,86.7,85.01,85.66,86.27,-0.61,-0.7071,158471.4,1358709.722
688008.SH,2025-07-21,85.3,85.4,83.3,83.91,85.66,-1.75,-2.043,232276.64,1951408.895
688008.SH,2025-07-22,83.92,84.2,83.07,83.32,83.91,-0.59,-0.7031,183901.33,1538275.406
688008.SH,2025-07-23,83.32,84.64,82.97,83.52,83.32,0.2,0.24,205507.69,1721320.231
688008.SH,2025-07-24,83.4,83.83,82.69,83.68,83.52,0.16,0.1916,244290.0,2032548.761
688008.SH,2025-07-25,83.61,85.1,82.65,84.6,83.68,0.92,1.0994,263683.46,2206120.703
688008.SH,2025-07-28,84.5,86.18,83.69,85.97,84.6,1.37,1.6194,311729.49,2647130.732
688008.SH,2025-07-29,85.55,88.1,85.51,87.0,85.97,1.03,1.1981,313462.8,2726107.369
688008.SH,2025-07-30,87.1,88.66,86.01,87.21,87.0,0.21,0.2414,273123.34,2382778.525
688008.SH,2025-07-31,87.0,88.87,84.51,85.02,87.21,-2.19,-2.5112,310144.23,2685465.197
688008.SH,2025-08-01,85.1,85.85,81.66,82.19,85.02,-2.83,-3.3286,291833.21,2433071.396
688008.SH,2025-08-04,82.0,84.5,81.93,84.16,82.19,1.97,2.3969,245796.52,2056417.449
688008.SH,2025-08-05,84.29,85.85,83.55,85.16,84.16,1.0,1.1882,180386.09,1534568.539
688008.SH,2025-08-06,85.17,91.55,84.71,90.94,85.16,5.78,6.7872,476694.97,4245844.915
688008.SH,2025-08-07,91.4,93.86,91.4,92.96,90.94,2.02,2.2212,401658.35,3722074.031
688008.SH,2025-08-08,92.95,93.02,91.22,91.36,92.96,-1.6,-1.7212,216129.13,1987730.576
688008.SH,2025-08-11,91.36,92.3,90.17,90.83,91.36,-0.53,-0.5801,188475.77,1716045.439
688008.SH,2025-08-12,90.77,92.06,89.81,90.16,90.83,-0.67,-0.7376,252880.63,2291309.035
688008.SH,2025-08-13,90.74,91.1,89.6,90.15,90.16,-0.01,-0.0111,265836.73,2397768.098
688008.SH,2025-08-14,90.15,91.6,88.8,88.94,90.15,-1.21,-1.3422,349681.06,3151502.979
688008.SH,2025-08-15,89.96,93.28,89.95,93.0,88.94,4.06,4.5649,376189.89,3465634.377
688008.SH,2025-08-18,93.02,93.6,91.5,91.73,93.0,-1.27,-1.3656,409799.4,3787493.032
688008.SH,2025-08-19,92.33,93.07,89.5,89.6,91.73,-2.13,-2.322,350897.28,3205167.959
688008.SH,2025-08-20,90.47,92.87,88.33,92.86,89.6,3.26,3.6384,417557.78,3773037.133
688008.SH,2025-08-21,92.88,94.94,90.81,91.18,92.86,-1.68,-1.8092,368570.17,3419729.266
688008.SH,2025-08-22,91.94,99.19,91.18,99.11,91.18,7.93,8.6971,718053.19,6876378.058
688008.SH,2025-08-25,102.87,106.59,99.61,101.98,99.11,2.87,2.8958,747152.33,7626148.836
688008.SH,2025-08-26,101.0,106.25,100.3,103.6,101.98,1.62,1.5885,479915.43,4985994.764
688008.SH,2025-08-27,103.2,115.87,102.86,108.2,103.6,4.6,4.4402,781875.92,8569515.518
688008.SH,2025-08-28,109.0,117.71,109.0,117.5,108.2,9.3,8.5952,809760.49,9229646.128
688008.SH,2025-08-29,115.15,124.68,111.0,122.9,117.5,5.4,4.5957,703320.22,8155828.408
688008.SH,2025-09-01,128.0,129.98,119.8,124.22,122.9,1.32,1.074,644236.13,8008368.599
688008.SH,2025-09-02,124.55,127.18,114.01,115.4,124.22,-8.82,-7.1003,703482.41,8390027.696
688008.SH,2025-09-03,114.36,115.82,110.98,112.49,115.4,-2.91,-2.5217,498354.91,5648215.323
688008.SH,2025-09-04,112.75,112.98,101.1,102.85,112.49,-9.64,-8.5697,671627.8,7112289.575
688008.SH,2025-09-05,104.15,108.76,102.48,108.41,102.85,5.56,5.4059,502484.72,5315320.108
688008.SH,2025-09-08,110.0,112.59,108.04,109.33,108.41,0.92,0.8486,459883.1,5052386.115
688008.SH,2025-09-09,110.5,112.5,107.71,107.95,109.33,-1.38,-1.2622,402045.88,4401854.457
688008.SH,2025-09-10,109.0,117.54,108.02,114.1,107.95,6.15,5.6971,585520.99,6667367.576
688008.SH,2025-09-11,110.0,119.27,108.0,117.4,114.1,3.3,2.8922,787775.47,8997684.448
688008.SH,2025-09-12,117.4,122.89,116.02,118.2,117.4,0.8,0.6814,663546.39,7877920.482
688008.SH,2025-09-15,120.3,121.03,116.2,117.16,118.2,-1.04,-0.8799,422874.66,4986853.163
688008.SH,2025-09-16,118.0,124.55,117.09,120.48,117.16,3.32,2.8337,542843.36,6574364.949
688008.SH,2025-09-17,119.76,120.39,115.5,119.11,120.48,-1.37,-1.1371,433512.64,5121161.588
688008.SH,2025-09-18,119.52,124.55,116.57,119.01,119.11,-0.1,-0.084,625314.63,7585970.354
688008.SH,2025-09-19,122.17,131.54,119.66,120.59,119.01,1.58,1.3276,753276.46,9426904.078
688008.SH,2025-09-22,120.18,126.44,120.11,125.29,120.59,4.7,3.8975,558638.77,6942433.23
688008.SH,2025-09-23,124.05,127.77,120.57,126.31,125.29,1.02,0.8141,586997.95,7297717.212
688008.SH,2025-09-24,125.0,139.99,124.0,135.86,126.31,9.55,7.5608,781769.77,10312100.711
688008.SH,2025-09-25,133.15,137.2,132.1,136.6,135.86,0.74,0.5447,444798.31,6000713.85
688008.SH,2025-09-26,135.6,139.45,133.01,133.1,136.6,-3.5,-2.5622,379833.23,5178707.826
688008.SH,2025-09-29,134.66,143.88,133.0,143.65,133.1,10.55,7.9264,507697.23,7038909.279
688008.SH,2025-09-30,145.8,157.97,142.5,154.8,143.65,11.15,7.7619,593846.22,9028981.402
688008.SH,2025-10-09,162.0,169.9,155.78,157.08,154.8,2.28,1.4729,759014.1,12306816.994
688008.SH,2025-10-10,154.0,159.0,148.55,150.06,157.08,-7.02,-4.4691,536322.06,8189039.489
688008.SH,2025-10-13,141.0,152.55,141.0,148.05,150.06,-2.01,-1.3395,486880.86,7213219.113
688008.SH,2025-10-14,151.24,155.9,143.77,147.0,148.05,-1.05,-0.7092,514269.01,7689556.27
688008.SH,2025-10-15,143.11,145.0,136.38,144.55,147.0,-2.45,-1.6667,458651.71,6457985.399
688008.SH,2025-10-16,143.5,151.0,143.2,144.6,144.55,0.05,0.0346,402648.66,5911915.893
688008.SH,2025-10-17,143.15,145.45,137.81,138.0,144.6,-6.6,-4.5643,382019.18,5365666.868
688008.SH,2025-10-20,141.98,142.99,133.66,135.15,138.0,-2.85,-2.0652,458386.67,6315068.479
688008.SH,2025-10-21,136.3,140.44,135.3,139.0,135.15,3.85,2.8487,351218.73,4875734.734
688008.SH,2025-10-22,137.5,137.87,134.7,136.36,138.8,-2.44,-1.7579,251019.72,3424355.151
688008.SH,2025-10-23,135.88,137.2,132.33,136.42,136.36,0.06,0.044,223038.75,3004703.089
688008.SH,2025-10-24,139.39,146.19,139.3,146.05,136.42,9.63,7.0591,490977.71,7076979.205
688008.SH,2025-10-27,153.0,153.46,146.11,151.01,146.05,4.96,3.3961,543984.76,8145484.175
688008.SH,2025-10-28,147.5,152.09,146.99,149.36,151.01,-1.65,-1.0926,348338.76,5205905.76
688008.SH,2025-10-29,149.0,155.5,149.0,153.3,149.36,3.94,2.6379,327299.27,4988411.386
688008.SH,2025-10-30,155.0,158.88,151.21,152.0,153.3,-1.3,-0.848,436911.61,6756662.788
688008.SH,2025-10-31,148.01,149.0,136.3,136.3,152.0,-15.7,-10.3289,707860.84,9928715.9
688008.SH,2025-11-03,134.0,135.26,128.03,133.13,136.3,-3.17,-2.3258,477364.71,6257947.515
688008.SH,2025-11-04,134.8,134.88,128.88,130.07,133.13,-3.06,-2.2985,328125.18,4317429.028
688008.SH,2025-11-05,125.2,129.58,125.16,128.91,130.07,-1.16,-0.8918,289662.53,3685197.269
688008.SH,2025-11-06,130.58,133.41,128.96,132.31,128.91,3.4,2.6375,385455.43,5066112.411
688008.SH,2025-11-07,130.0,132.88,129.08,130.08,132.31,-2.23,-1.6854,256361.65,3353290.907
688008.SH,2025-11-10,132.01,132.82,125.0,127.8,130.08,-2.28,-1.7528,317988.04,4071395.446
688008.SH,2025-11-11,129.29,131.0,126.8,127.14,127.8,-0.66,-0.5164,240863.01,3104258.517
688008.SH,2025-11-12,125.2,127.5,122.7,124.68,127.14,-2.46,-1.9349,277747.47,3459722.133
688008.SH,2025-11-13,124.0,130.27,123.8,127.8,124.68,3.12,2.5024,307932.38,3945799.723
688008.SH,2025-11-14,124.0,124.24,121.17,121.17,127.8,-6.63,-5.1878,294838.25,3613577.351
688008.SH,2025-11-17,121.28,123.8,120.07,121.2,121.17,0.03,0.0248,201819.43,2454629.886
688008.SH,2025-11-18,120.8,122.88,119.78,120.9,121.2,-0.3,-0.2475,226247.75,2740616.115
688008.SH,2025-11-19,120.1,122.07,118.68,119.4,120.9,-1.5,-1.2407,172317.31,2068680.523
688008.SH,2025-11-20,122.36,122.8,117.88,118.02,119.4,-1.38,-1.1558,178852.04,2138178.618
688008.SH,2025-11-21,114.88,117.0,113.7,113.9,118.02,-4.12,-3.4909,239345.4,2757308.507
688008.SH,2025-11-24,115.67,115.95,112.0,113.9,113.9,0.0,0.0,197425.32,2249464.316
688008.SH,2025-11-25,116.6,118.77,115.72,116.29,113.9,2.39,2.0983,262937.64,3075887.228
688008.SH,2025-11-26,115.08,119.24,114.45,117.11,116.29,0.82,0.7051,221755.21,2605052.139
688008.SH,2025-11-27,118.2,122.22,117.02,117.4,117.11,0.29,0.2476,300730.82,3601089.382
688008.SH,2025-11-28,117.58,119.22,116.86,118.5,117.4,1.1,0.937,182618.22,2156907.673
688008.SH,2025-12-01,120.0,121.1,116.97,120.45,118.5,1.95,1.6456,246952.79,2952408.801
688008.SH,2025-12-02,120.06,120.26,117.54,118.16,120.45,-2.29,-1.9012,167436.06,1986826.731
688008.SH,2025-12-03,118.72,120.28,117.9,118.1,118.16,-0.06,-0.0508,158078.18,1879712.163
688008.SH,2025-12-04,117.55,120.33,116.85,119.7,118.1,1.6,1.3548,165564.55,1968861.996
688008.SH,2025-12-05,119.5,120.22,117.7,119.23,119.7,-0.47,-0.3926,185511.77,2208461.366
688008.SH,2025-12-08,120.0,124.77,119.25,123.11,119.23,3.88,3.2542,299445.77,3675936.356
688008.SH,2025-12-09,123.13,124.5,122.03,123.1,123.11,-0.01,-0.0081,229380.3,2825894.249
688008.SH,2025-12-10,122.3,122.36,117.83,120.51,123.1,-2.59,-2.104,284839.33,3394900.658
688008.SH,2025-12-11,123.82,126.45,119.28,119.39,120.51,-1.12,-0.9294,384333.65,4724702.542
688008.SH,2025-12-12,118.88,121.5,117.72,120.4,119.39,1.01,0.846,387004.65,4636449.696
688008.SH,2025-12-15,117.97,118.87,114.82,115.14,120.4,-5.26,-4.3688,305342.92,3558366.587
688008.SH,2025-12-16,114.5,115.84,112.62,113.57,115.14,-1.57,-1.3636,215083.63,2453623.052
688008.SH,2025-12-17,114.1,117.59,112.81,117.3,113.57,3.73,3.2843,225168.36,2600876.285
688008.SH,2025-12-18,116.37,119.48,115.88,116.77,117.3,-0.53,-0.4518,201479.89,2369083.916
688008.SH,2025-12-19,119.0,119.8,116.87,117.58,116.77,0.81,0.6937,217885.52,2578921.823
688008.SH,2025-12-22,118.52,121.17,118.14,120.4,117.58,2.82,2.3984,241130.22,2896335.09
688008.SH,2025-12-23,120.71,122.15,119.8,121.0,120.4,0.6,0.4983,214178.25,2591075.075
688008.SH,2025-12-24,120.5,122.36,119.91,121.8,121.0,0.8,0.6612,209151.13,2533918.138
688008.SH,2025-12-25,122.0,123.24,120.32,121.3,121.8,-0.5,-0.4105,185865.6,2257158.472
688008.SH,2025-12-26,120.44,122.74,119.7,120.88,121.3,-0.42,-0.3462,189115.98,2291736.955
688008.SH,2025-12-29,120.88,122.59,118.66,119.12,120.88,-1.76,-1.456,237698.75,2860079.56
688008.SH,2025-12-30,118.98,122.44,118.5,119.91,119.12,0.79,0.6632,265269.37,3195267.437
688008.SH,2025-12-31,121.0,121.1,117.72,117.8,119.91,-2.11,-1.7597,197500.88,2347258.375
688008.SH,2026-01-05,119.5,129.25,119.5,127.75,117.8,9.95,8.4465,533779.69,6697219.456
688008.SH,2026-01-06,129.0,135.63,127.05,133.52,127.75,5.77,4.5166,534905.77,7068415.855
688008.SH,2026-01-07,141.0,143.29,133.1,135.7,133.52,2.18,1.6327,621265.66,8527476.023
688008.SH,2026-01-08,134.5,135.88,131.5,132.08,135.7,-3.62,-2.6676,403319.3,5373015.63
688008.SH,2026-01-09,131.0,133.77,129.26,132.38,132.08,0.3,0.2271,357015.66,4697780.145
688008.SH,2026-01-12,134.16,134.98,130.61,132.24,132.38,-0.14,-0.1058,412043.03,5457945.577
688008.SH,2026-01-13,132.24,134.07,128.5,129.5,132.24,-2.74,-2.072,363459.73,4755801.76
688008.SH,2026-01-14,131.99,135.85,130.19,132.45,129.5,2.95,2.278,523522.37,6980979.874
688008.SH,2026-01-15,132.8,137.08,132.4,135.2,132.45,2.75,2.0763,480064.73,6470337.082
688008.SH,2026-01-16,138.1,144.0,136.0,142.59,135.2,7.39,5.466,646187.79,9066637.555
688008.SH,2026-01-19,141.5,142.0,137.1,138.9,142.59,-3.69,-2.5878,520448.89,7229000.807
688008.SH,2026-01-20,137.95,147.0,137.5,143.0,138.9,4.1,2.9518,624025.24,8965934.253
688008.SH,2026-01-21,144.0,163.2,143.7,160.02,143.0,17.02,11.9021,903534.38,14053821.104
688008.SH,2026-01-22,172.87,181.8,164.11,167.9,160.02,7.88,4.9244,1140818.79,19457143.659
688008.SH,2026-01-23,163.2,170.47,158.01,160.02,167.9,-7.88,-4.6933,743836.21,12036487.451
688008.SH,2026-01-26,158.19,169.34,158.19,164.11,160.02,4.09,2.5559,680821.47,11289036.898
688008.SH,2026-01-27,162.13,170.48,155.6,169.02,164.11,4.91,2.9919,661490.15,10860031.421
688008.SH,2026-01-28,171.0,176.18,168.88,173.26,169.02,4.24,2.5086,649919.83,11220605.164
688008.SH,2026-01-29,175.6,176.0,162.12,162.18,173.26,-11.08,-6.395,602538.22,10043739.113
688008.SH,2026-01-30,160.48,185.88,160.2,181.85,162.18,19.67,12.1285,914321.0,15888889.058
688008.SH,2026-02-02,181.0,188.88,176.39,177.93,181.85,-3.92,-2.1556,759818.61,13766339.252
688008.SH,2026-02-03,184.79,188.79,175.0,182.03,177.93,4.1,2.3043,684196.18,12463547.881
688008.SH,2026-02-04,175.6,175.69,164.11,170.9,182.03,-11.13,-6.1144,567404.17,9577099.946
688008.SH,2026-02-05,161.88,170.65,161.5,168.15,170.9,-2.75,-1.6091,324652.15,5433114.062
688008.SH,2026-02-06,165.0,166.96,162.8,163.54,168.15,-4.61,-2.7416,315152.1,5193818.869
688008.SH,2026-02-09,170.88,173.8,165.87,173.45,163.54,9.91,6.0597,423301.56,7195903.953
688008.SH,2026-02-10,172.5,180.0,172.11,177.5,173.45,4.05,2.335,389776.43,6880679.822
688008.SH,2026-02-11,174.9,174.9,168.52,169.9,177.5,-7.6,-4.2817,285694.13,4884135.853
688008.SH,2026-02-12,171.68,174.9,165.0,168.11,169.9,-1.79,-1.0536,401026.13,6717266.03
688008.SH,2026-02-13,166.8,171.1,164.23,164.6,168.11,-3.51,-2.0879,292600.81,4875817.521
688008.SH,2026-02-24,169.99,177.64,167.03,174.61,164.6,10.01,6.0814,403826.09,6969692.576
688008.SH,2026-02-25,174.62,174.63,165.61,167.74,174.61,-6.87,-3.9345,359921.04,6047307.975
688008.SH,2026-02-26,167.9,168.88,163.88,165.12,167.74,-2.62,-1.5619,343616.43,5689131.101
688008.SH,2026-02-27,162.5,165.68,161.56,163.55,165.12,-1.57,-0.9508,258207.72,4204995.601
688008.SH,2026-03-02,159.03,164.56,158.26,159.44,163.55,-4.11,-2.513,312124.32,5021299.24
688008.SH,2026-03-03,160.06,160.96,147.67,147.89,159.44,-11.55,-7.2441,522089.58,7929787.641
688008.SH,2026-03-04,147.0,154.84,147.0,150.31,147.89,2.42,1.6364,407250.55,6178671.223
688008.SH,2026-03-05,156.51,156.83,151.11,152.63,150.31,2.32,1.5435,302019.25,4637827.383
688008.SH,2026-03-06,150.88,154.68,150.63,151.61,152.63,-1.02,-0.6683,210908.11,3209139.23
688008.SH,2026-03-09,145.0,149.28,140.83,148.18,151.61,-3.43,-2.2624,365598.49,5283916.931
688008.SH,2026-03-10,152.99,154.02,150.86,152.98,148.18,4.8,3.2393,305722.21,4669719.591
688008.SH,2026-03-11,154.09,154.31,149.32,149.8,152.98,-3.18,-2.0787,251905.45,3804569.502
688008.SH,2026-03-12,149.05,151.09,146.29,147.85,149.8,-1.95,-1.3017,235285.72,3492954.221
688008.SH,2026-03-13,146.77,150.45,145.24,146.5,147.85,-1.35,-0.9131,265748.76,3921210.918
688008.SH,2026-03-16,147.0,153.71,145.4,152.5,146.5,6.0,4.0956,409654.81,6145692.306
688008.SH,2026-03-17,153.0,153.0,146.42,146.59,152.5,-5.91,-3.8754,299524.47,4463314.315
688008.SH,2026-03-18,150.0,153.95,148.62,153.62,146.59,7.03,4.7957,479787.5,7302233.907
688008.SH,2026-03-19,150.54,153.56,148.75,149.68,153.62,-3.94,-2.5648,382433.78,5771710.067
688008.SH,2026-03-20,151.4,151.87,144.86,144.9,149.68,-4.78,-3.1935,350753.43,5195762.804
688008.SH,2026-03-23,139.99,142.38,135.91,136.8,144.9,-8.1,-5.5901,383499.82,5332637.842
688008.SH,2026-03-24,140.0,140.0,132.1,137.57,136.8,0.77,0.5629,300404.34,4070281.341
688008.SH,2026-03-25,139.5,143.88,139.2,142.0,137.57,4.43,3.2202,325799.74,4614540.748
688008.SH,2026-03-26,139.88,140.34,136.1,136.99,142.0,-5.01,-3.5282,248477.42,3429348.107
688008.SH,2026-03-27,132.01,136.95,131.59,135.1,136.99,-1.89,-1.3797,234873.11,3155339.568
688008.SH,2026-03-30,131.58,133.3,131.05,132.0,135.1,-3.1,-2.2946,255719.49,3378424.406
688008.SH,2026-03-31,130.0,130.0,125.0,125.28,132.0,-6.72,-5.0909,364438.45,4627857.546
688008.SH,2026-04-01,130.0,131.12,127.27,129.97,125.28,4.69,3.7436,342306.27,4427751.403
688008.SH,2026-04-02,131.6,133.4,127.72,129.0,129.97,-0.97,-0.7463,305824.23,3994346.358
688008.SH,2026-04-03,130.71,131.05,127.0,127.26,129.0,-1.74,-1.3488,185980.57,2383276.219
688008.SH,2026-04-07,128.97,130.5,127.69,127.9,127.26,0.64,0.5029,198025.96,2553643.322
688008.SH,2026-04-08,133.67,139.21,132.53,139.21,127.9,11.31,8.8428,500428.66,6807382.587
688008.SH,2026-04-09,137.52,141.9,136.66,139.17,139.21,-0.04,-0.0287,371454.23,5192060.559
688008.SH,2026-04-10,143.0,145.5,142.3,143.53,139.17,4.36,3.1329,401408.66,5781459.387
688008.SH,2026-04-13,142.4,155.15,142.38,152.3,143.53,8.77,6.1102,534921.0,8013876.154
688008.SH,2026-04-14,157.5,160.0,153.06,153.36,152.3,1.06,0.696,630131.64,9866055.917
688008.SH,2026-04-15,156.0,156.08,146.03,147.18,153.36,-6.18,-4.0297,491316.62,7391381.043
688008.SH,2026-04-16,147.48,152.85,144.34,151.0,147.18,3.82,2.5955,397312.02,5943470.586
688008.SH,2026-04-17,150.52,155.0,150.03,150.78,151.0,-0.22,-0.1457,455253.75,6918522.635
688008.SH,2026-04-20,153.2,156.97,152.25,154.66,150.78,3.88,2.5733,432313.91,6681984.367
688008.SH,2026-04-21,154.69,159.63,149.66,158.4,154.66,3.74,2.4182,452160.78,7056650.218
688008.SH,2026-04-22,158.41,164.25,157.29,163.35,158.4,4.95,3.125,581695.2,9344823.543
688008.SH,2026-04-23,166.65,168.88,158.15,159.7,163.35,-3.65,-2.2345,621429.69,10151119.437
688008.SH,2026-04-24,167.0,172.0,161.4,163.5,159.7,3.8,2.3795,621121.76,10258761.896
688008.SH,2026-04-27,174.77,180.6,171.07,178.09,163.5,14.59,8.9235,825574.42,14577855.792
688008.SH,2026-04-28,172.7,177.37,170.02,173.61,178.09,-4.48,-2.5156,694862.73,12058490.133
